target_id,seed,N,method,true_theta1,true_phi1,true_theta2,true_phi2,fidelity,infidelity,z1_counts_0,z1_counts_1,x1_counts_0,x1_counts_1,y1_counts_0,y1_counts_1,z2_counts_0,z2_counts_1,x2_counts_0,x2_counts_1,y2_counts_0,y2_counts_1
42,1,25,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9348499257668642,0.06515007423313579,9,3,3,10,0,0,12,0,5,8,0,0
42,1,25,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9678927000741193,0.032107299925880683,8,0,1,7,6,3,8,0,1,7,2,7
42,1,50,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,44,6,0,0,0,0,48,2,0,0,0,0
42,1,50,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.87169707545684,0.12830292454315995,25,0,7,18,0,0,24,1,15,10,0,0
42,1,50,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9892087157064136,0.010791284293586445,15,1,3,13,11,7,15,1,5,11,5,13
42,1,100,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,93,7,0,0,0,0,91,9,0,0,0,0
42,1,100,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9324086223694821,0.06759137763051792,44,6,14,36,0,0,50,0,16,34,0,0
42,1,100,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9960026533461197,0.003997346653880296,30,3,5,28,22,12,32,1,11,22,9,25
42,1,250,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,214,36,0,0,0,0,235,15,0,0,0,0
42,1,250,ZX_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9385623782178942,0.06143762178210577,106,19,22,103,0,0,119,6,46,79,0,0
42,1,250,XYZ_split,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.9889465581845227,0.011053441815477294,71,12,20,63,50,34,77,6,35,48,22,62
42,1,500,Z_only,0.7527838888668186,2.631296155728677,0.44930337359201733,4.100845279719601,0.8219737927587414,0.17802620724125862,431,69,0,0,0,0,475,25,0,0,0,0
